team,total_matches,won,lost,draw,win_perc,pts_for,pts_against,pts_diff,tries,conversion,pen_goal,drop_goal,year
England,17,16,1,0,94.11,644,201,443,68,53,51,15,2003
South Africa,17,14,3,0,82.35,658,257,401,81,62,41,2,2007
New Zealand,14,14,0,0,100.0,454,239,215,51,41,39,0,2013
New Zealand,15,13,2,0,86.66,489,201,288,56,43,40,1,2008
New Zealand,14,13,1,0,92.85,495,246,249,59,46,36,0,2010
England,13,13,0,0,100.0,424,229,195,46,31,44,0,2016
New Zealand,14,13,1,0,92.85,562,221,341,80,60,14,0,2016
France,16,12,4,0,75.0,452,266,186,52,27,43,3,1995
Ireland,16,12,4,0,75.0,502,302,200,57,41,40,5,2003
New Zealand,14,12,2,0,85.71,602,207,395,81,58,26,1,2003
New Zealand,13,12,1,0,92.3,421,215,206,44,33,44,1,2006
New Zealand,14,12,1,1,89.28,466,193,273,50,39,44,2,2012
New Zealand,14,12,1,1,89.28,433,233,200,53,33,34,0,2014
New Zealand,14,12,2,0,85.71,549,255,294,78,57,13,2,2018
Namibia,11,11,0,0,100.0,339,144,195,52,34,20,1,1991
New Zealand,12,11,0,1,95.83,571,201,370,72,53,34,1,1997
Australia,13,11,2,0,84.61,461,175,286,56,35,37,0,1998
South Africa,12,11,1,0,91.66,361,136,225,47,30,22,0,1998
Australia,13,11,2,0,84.61,405,181,224,43,32,41,1,1999
Argentina,14,11,3,0,78.57,643,184,459,92,54,20,5,2003
New Zealand,12,11,1,0,91.66,447,165,282,55,41,30,0,2005
France,17,11,6,0,64.7,480,323,157,51,39,49,0,2007
New Zealand,12,11,1,0,91.66,441,191,250,55,41,26,2,2015
New Zealand,14,11,2,1,82.14,501,249,252,67,53,20,0,2017
Uruguay,14,11,3,0,78.57,443,354,89,55,42,26,0,2017
Ireland,12,11,1,0,91.66,370,184,186,43,37,26,1,2018
France,12,10,2,0,83.33,289,132,157,41,19,26,3,1991
Wales,13,10,3,0,76.92,374,176,198,37,24,46,1,1994
