phase,match_time,event,label,team_id,player_id,points,x_pos,y_pos,ex_pos,ey_pos,m_pos,info,millis,gmt_offset,score0,score1,plot,manual_label
U,0,Teams Out,Teams Out,39,,0,50,50,,,,"",1572652569000,9,0,0,FALSE,Teams Out
L1,8,Restart,Restart,39,46392,0,50,50,,,,Opp Player,1572652983000,9,0,0,FALSE,Restart
L1,23,Ruck,Ruck,34,,0,14.6,85.8,,,,Ruck won,1572652998000,9,0,0,FALSE,Ruck
L1,24,Kick,Kick,34,34189,0,14.6,85.8,40.35,94.6,25.71,Ball into play,1572653000000,9,0,0,FALSE,Kick
L1,31,Ruck,Ruck,39,,0,39.6,95.9,,,,Ruck won,1572653007000,9,0,0,FALSE,Ruck
L1,42,Penalty conceded,Penalty conceded,34,34184,0,40.2,74.5,,,,"Killing ruck,Defence",1572653018000,9,0,0,FALSE,Penalty conceded
L1,43,Ruck,Ruck,39,,0,40.7,76.3,,,,Ruck won,1572653018000,9,0,0,FALSE,Ruck
L1,105,Miss Pen,Missed Penalty,39,46392,0,42.9,76,-10,58.24,52.85,Missed right,1572653080000,9,0,0,FALSE,Missed Penalty
L1,135,Restart,Restart,34,43574,0,19.3,53.9,,,,Opp Player,1572653110000,9,0,0,FALSE,Restart
L1,142,Kick,Kick,39,46392,0,57.1,55.2,28.03,53.86,29.1,Ball into play,1572653118000,9,0,0,FALSE,Kick
L1,148,Ruck,Ruck,34,,0,28.4,45.9,,,,Ruck won,1572653124000,9,0,0,FALSE,Ruck
L1,155,Kick,Kick,34,34189,0,27.7,36.3,54.64,21.36,26.96,Ball into play,1572653131000,9,0,0,FALSE,Kick
L1,155,Ruck,Ruck,34,,0,27.7,36.3,,,,Ruck won,1572653130000,9,0,0,FALSE,Ruck
L1,167,Ruck,Ruck,39,,0,43,23.4,,,,Ruck won,1572653143000,9,0,0,FALSE,Ruck
L1,171,Ruck,Ruck,39,,0,45.2,35.3,,,,Ruck won,1572653147000,9,0,0,FALSE,Ruck
L1,173,IR,Replacement On - Injury Replacement,34,29161,0,,,,,,"",1572653147002,9,0,0,FALSE,Replacement On - Injury Replacement
L1,173,IR,Replacement Off - Injury Replacement,34,45662,0,,,,,,"",1572653147002,9,0,0,TRUE,Kyle Sinckler Off
L1,197,Scrum,Scrum,39,,0,44.5,44.1,,,,"Pass,Ball into play,Stable,Won Out Right",1572653452000,9,0,0,FALSE,Scrum
L1,219,Ruck,Ruck,39,,0,32.5,12.9,,,,Ruck won,1572653475000,9,0,0,FALSE,Ruck
L1,224,Defender beaten,Defender beaten,39,49080,0,39.3,62.4,,,,"",1572653607000,9,0,0,FALSE,Defender beaten
L1,227,Linebreak,Linebreak,39,49080,0,36.3,81.7,,,,"",1572653483000,9,0,0,FALSE,Linebreak
L1,233,Ruck,Ruck,39,,0,27.1,82.5,,,,Ruck won,1572653489000,9,0,0,FALSE,Ruck
L1,244,Ruck,Ruck,39,,0,22,46.4,,,,Ruck won,1572653500000,9,0,0,FALSE,Ruck
L1,267,Ruck,Ruck,34,,0,9.8,3.8,,,,Ruck won,1572653522000,9,0,0,FALSE,Ruck
L1,267,Turnover,Turnover,39,,0,6.6,5.4,,,,"Knock On,Opp Half",1572653523000,9,0,0,FALSE,Turnover
L1,291,Ruck,Ruck,34,,0,9.8,3.8,,,,Ruck won,1572653547000,9,0,0,FALSE,Ruck
L1,301,Linebreak,Linebreak,34,38906,0,-0.9,85.1,,,,"",1572653556000,9,0,0,FALSE,Linebreak
L1,305,Ruck,Ruck,34,,0,20.5,90.2,,,,Ruck won,1572653561000,9,0,0,FALSE,Ruck
L1,310,Ruck,Ruck,34,,0,22.3,75.3,,,,Ruck won,1572653565000,9,0,0,FALSE,Ruck
L1,313,Kick,Kick,34,43574,0,22.3,75.3,59.99,22.39,37.67,Ball into play,1572653569000,9,0,0,FALSE,Kick
L1,319,Kick,Kick,39,46392,0,52.3,24.2,22.5,20.59,29.82,"",1572653574000,9,0,0,FALSE,Kick
L1,324,Linebreak,Linebreak,39,46392,0,22.5,20.6,,,,"",1572653579000,9,0,0,FALSE,Linebreak
L1,327,Ruck,Ruck,39,,0,12.3,19,,,,Ruck won,1572653583000,9,0,0,FALSE,Ruck
L1,331,Ruck,Ruck,39,,0,11.3,34.8,,,,Ruck won,1572653587000,9,0,0,FALSE,Ruck
L1,336,Ruck,Ruck,39,,0,12.9,47.4,,,,Ruck won,1572653592000,9,0,0,FALSE,Ruck
L1,342,Turnover,Turnover,39,,0,13.8,63.9,,,,"Knock On,Opp Half",1572653598000,9,0,0,FALSE,Turnover
L1,412,Scrum,Scrum,34,,0,14.8,78.1,,,,"Pass,Stable,Reset",1572653703000,9,0,0,FALSE,Scrum
L1,468,Scrum,Scrum,34,,0,14.8,78.1,,,,"Pass,Ball into play,Stable,Won Out Right",1572653751000,9,0,0,FALSE,Scrum
L1,482,Ruck,Ruck,34,,0,11.1,52.6,,,,Ruck lost,1572653766000,9,0,0,FALSE,Ruck
L1,482,Penalty conceded,Penalty conceded,34,43573,0,11.1,52.6,,,,"Ball into play,Handling in ruck,Offence",1572653766000,9,0,0,FALSE,Penalty conceded
L1,542,P3,Penalty,39,46392,3,12.9,45.1,-6.25,51.28,19.1,Middle,1572653829000,9,0,3,TRUE,Penalty
L1,570,Restart,Restart,34,43574,0,49.6,49.7,,,,Opp Player,1572653854000,9,0,3,FALSE,Restart
L1,571,Ruck,Ruck,39,,0,80.5,54.1,,,,Ruck won,1572653857000,9,0,3,FALSE,Ruck
L1,577,Ruck,Ruck,39,,0,80.2,43.5,,,,Ruck won,1572653864000,9,0,3,FALSE,Ruck
L1,583,Kick,Kick,39,56104,0,80.2,43.5,62.32,0.99,17.85,Ball into play,1572653870000,9,0,3,FALSE,Kick
L1,607,Lineout,Lineout throw,34,36524,0,60.7,-0.3,,,,"Ball into play,Won clean",1572653891000,9,0,3,FALSE,Lineout throw
L1,614,Defender beaten,Defender beaten,34,44193,0,63,33,,,,"",1572653897000,9,0,3,FALSE,Defender beaten
L1,617,Ruck,Ruck,34,,0,63,33,,,,Ruck won,1572653900000,9,0,3,FALSE,Ruck
L1,620,Turnover,Turnover,34,,0,63,33,,,,"Bad Pass,Opp Half",1572653904000,9,0,3,FALSE,Turnover
L1,651,Lineout,Lineout throw,39,43544,0,54.3,-0.6,,,,"Ball into play,Won clean",1572653937000,9,0,3,FALSE,Lineout throw
L1,664,Ruck,Ruck,39,,0,51.4,4.3,,,,Ruck won,1572653951000,9,0,3,FALSE,Ruck
