country,rgbcode
Argentina,"rgba(117,170,219,0.4)"
Australia,"rgba(255,205,0,0.4)"
Canada,"rgba(196,12,12,0.4)"
Club Unknown,"rgba(178,178,178,0.4)"
England,"rgba(207,20,43,0.4)"
Fiji,"rgba(102,102,102,0.4)"
France,"rgba(0,114,187,0.4)"
Georgia,"rgba(118,31,60,0.4)"
Ireland,"rgba(0,105,70,0.4)"
Italy,"rgba(12,84,180,0.4)"
Ivory Coast,"rgba(226,99,19,0.4)"
Japan,"rgba(212,61,57,0.4)"
Jersey,"rgba(178,102,178,0.4)"
Namibia,"rgba(62,110,205,0.4)"
New Zealand,"rgba(0,0,0,0.4)"
No Club,"rgba(178,178,178,0.4)"
Portugal,"rgba(255,0,0,0.4)"
Romania,"rgba(255,211,22,0.4)"
Russia,"rgba(218,41,28,0.4)"
Samoa,"rgba(16,104,234,0.4)"
Scotland,"rgba(58,52,80,0.4)"
Singapore,"rgba(178,102,178,0.4)"
South Africa,"rgba(27,56,56,0.4)"
Spain,"rgba(254,221,4,0.4)"
Tonga,"rgba(201,35,52,0.4)"
United States,"rgba(42,56,92,0.4)"
Uruguay,"rgba(54,146,233,0.4)"
Wales,"rgba(243,55,40,0.4)"
Zimbabwe,"rgba(34,104,37,0.4)"
