player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Mark McBain,Hooker,31 October 1959,4.0,Brothers Old Boys / Queensland,Australia,1987,1987-05-22,Australia,1959-10-31,10065.0
Tom Lawton,Hooker,1 November 1962,22.0,Souths / Queensland,Australia,1987,1987-05-22,Australia,1962-11-01,8968.0
Enrique Rodríguez,Prop,20 June 1952,15.0,Warringah / New South Wales,Australia,1987,1987-05-22,Australia,1952-06-20,12754.0
Cameron Lillicrap,Prop,19 April 1963,1.0,Souths Rugby / Queensland,Australia,1987,1987-05-22,Australia,1963-04-19,8799.0
Mark Hartill,Prop,29 May 1964,4.0,Gordon / New South Wales,Australia,1987,1987-05-22,Australia,1964-05-29,8393.0
William Campbell,Lock,28 November 1961,9.0,Queensland,Australia,1987,1987-05-22,Australia,1961-11-28,9306.0
Steve Cutler,Lock,28 July 1960,19.0,Gordon RFC / New South Wales,Australia,1987,1987-05-22,Australia,1960-07-28,9794.0
David Codey,Back row,7 July 1957,8.0,GPS / Queensland,Australia,1987,1987-05-22,Australia,1957-07-07,10911.0
Jeff Miller,Back row,4 July 1962,3.0,Teachers-Norths / Queensland,Australia,1987,1987-05-22,Australia,1962-07-04,9088.0
Andy McIntyre,Back row,23 December 1955,22.0,University of Queensland / Queensland,Australia,1987,1987-05-22,Australia,1955-12-23,11473.0
Simon Poidevin,Back row,31 October 1958,43.0,Randwick / New South Wales,Australia,1987,1987-05-22,Australia,1958-10-31,10430.0
Ross Reynolds,Back row,27 September 1958,9.0,Gordon / New South Wales,Australia,1987,1987-05-22,Australia,1958-09-27,10464.0
Steve Tuynman,Back row,30 May 1963,19.0,Eastwood / New South Wales,Australia,1987,1987-05-22,Australia,1963-05-30,8758.0
Troy Coker,Back row,30 May 1965,0.0,Souths / Queensland,Australia,1987,1987-05-22,Australia,1965-05-30,8027.0
Brian Smith,Scrum-half,9 September 1966,14.0,Queensland,Australia,1987,1987-05-22,Australia,1966-09-09,7560.0
Nick Farr-Jones,Scrum-half,18 April 1962,17.0,Sydney University / New South Wales,Australia,1987,1987-05-22,Australia,1962-04-18,9165.0
Michael Lynagh,Fly-half,25 October 1963,16.0,University of Queensland / Queensland,Australia,1987,1987-05-22,Australia,1963-10-25,8610.0
Steve James,Fly-half,23 July 1960,1.0,New South Wales,Australia,1987,1987-05-22,Australia,1960-07-23,9799.0
