country,primary,secondary,tertiary,quaternary,logo
australia,#f0af00,#1c6648,#ffbb00,#004044,
england,#ffffff,#e52e33,,,
japan,#ffffff,#d43d39,,,
wales,#f33728,#394d3a,#ffffff,,
canada,#f00000,#ffffff,#000000,#e82042,
ireland,#006946,#ffffff,,,
new zealand,#000000,#ffffff,,,
italy,#0c54b4,#ffffff,#156c43,#f6272d,
argentina,#7fafd7,#ffffff,,,
france,#0000c0,#de0023,#ffffff,#003b7c,
scotland,#3a3450,#ffffff,#694b7f,#2a5e62,
united states,#2a385c,#ed3c2f,#ffffff,,
tonga,#c92334,#ffffff,,,
fiji,#ffffff,#000000,,,
romania,#ffd316,#002b7f,#ce1126,,
south africa,#3b583b,#ffb302,,,
samoa,#1068ea,#fa1901,#ffffff,,
namibia,#3e6ecd,#d26657,#70a26c,#ffffff,
georgia,#761f3c,#dfaf37,#ffffff,#000000,
uruguay,#3692e9,#ffffff,#fbe068,,
zimbabwe,#226825,#ffffff,#000000,,
russia,#da291c,#0033a0,#ffffff,,
western samoa,#1068ea,#fa1901,#ffffff,,
ivory coast,#e26313,#2a6350,#ffffff,,
spain,#fa1100,#fedd04,#074193,,
portugal,#ff0000,#006200,#ffffff,,
neutral,#666666,#cccccc,,, 
